iter	Passed	Remaining
0	142	142778
1	143	71853
2	144	48162
3	145	36326
4	146	29205
5	147	24503
6	149	21146
7	150	18627
8	151	16658
9	152	15118
10	153	13829
11	155	12836
12	156	11919
13	158	11145
14	159	10487
15	160	9883
16	161	9354
17	162	8884
18	163	8456
19	164	8073
20	165	7736
21	167	7439
22	168	7162
23	169	6899
24	170	6660
25	171	6441
26	172	6226
27	173	6035
28	174	5852
29	176	5708
30	177	5563
31	178	5413
32	180	5275
33	180	5141
34	181	5013
35	182	4894
36	183	4781
37	184	4675
38	185	4573
39	186	4475
40	187	4382
41	188	4300
42	189	4215
43	190	4134
44	191	4058
45	192	3986
46	193	3927
47	194	3866
48	195	3801
49	196	3739
50	197	3680
51	199	3632
52	201	3608
53	204	3579
54	205	3529
55	206	3478
56	207	3428
57	208	3380
58	209	3339
59	210	3295
60	211	3259
61	212	3221
62	213	3180
63	214	3141
64	215	3102
65	217	3075
66	218	3040
67	219	3005
68	220	2976
69	221	2942
70	222	2909
71	223	2880
72	224	2849
73	225	2821
74	226	2798
75	227	2770
76	228	2744
77	229	2718
78	231	2695
79	232	2669
80	235	2667
81	237	2664
82	238	2635
83	239	2612
84	240	2590
85	241	2569
86	242	2548
87	244	2529
88	245	2509
89	246	2489
90	247	2471
91	249	2463
92	253	2474
93	256	2470
94	257	2457
95	259	2440
96	260	2423
97	262	2413
98	263	2397
99	264	2382
100	266	2367
101	266	2350
102	267	2333
103	268	2315
104	269	2298
105	270	2282
106	271	2266
107	272	2251
108	273	2234
109	274	2219
110	275	2203
111	276	2188
112	276	2173
113	277	2158
114	278	2144
115	279	2131
116	280	2116
117	281	2103
118	282	2091
119	283	2078
120	284	2065
121	284	2050
122	285	2037
123	286	2024
124	287	2012
125	288	2000
126	289	1987
127	290	1976
128	291	1965
129	292	1954
130	293	1944
131	294	1934
132	295	1926
133	297	1920
134	298	1910
135	299	1905
136	300	1895
137	302	1887
138	303	1877
139	304	1867
140	305	1858
141	305	1846
142	306	1838
143	308	1831
144	308	1821
145	309	1812
146	311	1804
147	312	1797
148	313	1789
149	314	1783
150	315	1774
151	316	1768
152	318	1760
153	318	1752
154	319	1743
155	320	1735
156	321	1726
157	322	1718
158	323	1710
159	324	1701
160	324	1691
161	325	1683
162	326	1676
163	327	1668
164	328	1661
165	329	1653
166	329	1645
167	330	1638
168	331	1630
169	332	1623
170	333	1616
171	334	1609
172	335	1603
173	336	1596
174	337	1590
175	339	1588
176	340	1584
177	341	1577
178	342	1571
179	343	1566
180	344	1559
181	345	1553
182	346	1546
183	347	1540
184	348	1533
185	348	1527
186	349	1521
187	350	1514
188	351	1508
189	352	1502
190	353	1496
191	354	1490
192	355	1485
193	356	1479
194	356	1473
195	357	1468
196	358	1462
197	359	1457
198	360	1451
199	361	1445
200	362	1440
201	363	1434
202	364	1429
203	365	1424
204	365	1419
205	366	1413
206	367	1408
207	368	1403
208	369	1398
209	370	1393
210	371	1388
211	372	1383
212	373	1378
213	373	1373
214	375	1369
215	375	1364
216	376	1359
217	377	1355
218	379	1351
219	380	1347
220	381	1343
221	382	1339
222	383	1336
223	384	1332
224	385	1328
225	386	1323
226	387	1319
227	388	1316
228	389	1312
229	390	1307
230	391	1302
231	392	1298
232	393	1294
233	393	1289
234	394	1285
235	395	1281
236	397	1278
237	397	1273
238	398	1269
239	399	1264
240	400	1260
241	401	1256
242	401	1251
243	402	1247
244	403	1243
245	404	1239
246	405	1235
247	406	1231
248	407	1227
249	407	1223
250	408	1219
251	409	1215
252	410	1211
253	411	1207
254	412	1203
255	412	1199
256	413	1195
257	414	1192
258	415	1188
259	416	1184
260	417	1181
261	418	1177
262	418	1173
263	419	1170
264	420	1166
265	421	1162
266	422	1158
267	422	1154
268	423	1151
269	424	1148
270	425	1145
271	426	1141
272	427	1137
273	428	1134
274	429	1131
275	429	1127
276	430	1124
277	431	1121
278	432	1118
279	433	1114
280	434	1111
281	435	1108
282	436	1105
283	436	1101
284	437	1098
285	438	1095
286	439	1092
287	440	1089
288	441	1086
289	442	1082
290	443	1079
291	444	1076
292	444	1073
293	445	1070
294	446	1067
295	447	1064
296	448	1061
297	449	1057
298	450	1055
299	450	1052
300	451	1049
301	452	1045
302	453	1042
303	454	1039
304	455	1037
305	456	1035
306	457	1032
307	458	1029
308	459	1026
309	460	1023
310	460	1020
311	461	1017
312	462	1014
313	463	1011
314	463	1008
315	464	1006
316	465	1003
317	466	1000
318	467	997
319	467	994
320	468	991
321	469	988
322	470	985
323	471	983
324	472	980
325	473	978
326	474	975
327	474	973
328	475	970
329	476	967
330	477	965
331	478	962
332	479	959
333	480	957
334	480	954
335	481	951
336	482	949
337	483	946
338	484	943
339	484	941
340	485	938
341	486	936
342	487	933
343	488	931
344	489	929
345	490	927
346	491	924
347	492	922
348	492	919
349	493	916
350	494	914
351	495	912
352	496	909
353	497	907
354	497	904
355	498	902
356	499	899
357	500	897
358	501	895
359	502	893
360	503	891
361	504	889
362	505	886
363	506	884
364	507	882
365	508	880
366	508	877
367	509	875
368	510	873
369	511	870
370	512	868
371	513	866
372	514	864
373	515	862
374	516	860
375	516	857
376	517	855
377	518	853
378	519	850
379	520	848
380	520	846
381	521	844
382	522	842
383	523	839
384	524	837
385	525	835
386	526	833
387	527	831
388	527	829
389	528	827
390	529	824
391	530	822
392	531	820
393	532	818
394	533	816
395	533	814
396	534	812
397	535	809
398	536	807
399	537	805
400	538	803
401	538	801
402	539	799
403	540	797
404	541	795
405	542	793
406	543	791
407	544	789
408	545	788
409	546	786
410	547	784
411	548	782
412	549	780
413	549	778
414	550	776
415	551	774
416	552	772
417	553	770
418	553	768
419	554	766
420	555	764
421	556	762
422	557	760
423	558	758
424	559	756
425	559	754
426	560	752
427	561	750
428	562	748
429	563	746
430	563	744
431	564	742
432	565	740
433	566	738
434	567	737
435	568	735
436	569	733
437	570	731
438	570	729
439	571	727
440	572	725
441	573	724
442	574	722
443	575	720
444	576	718
445	576	716
446	577	714
447	578	712
448	579	710
449	580	709
450	581	707
451	581	705
452	582	703
453	583	701
454	584	700
455	585	698
456	586	696
457	587	694
458	587	692
459	588	691
460	589	689
461	590	687
462	591	685
463	592	683
464	592	682
465	593	680
466	594	678
467	595	676
468	596	675
469	597	673
470	598	671
471	599	670
472	599	668
473	600	666
474	601	664
475	602	663
476	603	661
477	604	659
478	604	658
479	605	656
480	606	654
481	607	653
482	608	651
483	609	649
484	610	647
485	610	646
486	611	644
487	612	642
488	613	641
489	614	639
490	615	637
491	615	636
492	616	634
493	617	632
494	618	631
495	619	629
496	620	627
497	620	625
498	621	624
499	622	622
500	623	620
501	624	619
502	625	617
503	625	615
504	626	614
505	627	612
506	628	611
507	629	609
508	630	607
509	630	606
510	631	604
511	632	602
512	633	601
513	634	599
514	635	598
515	636	596
516	636	594
517	637	593
518	638	591
519	639	590
520	640	588
521	641	587
522	642	585
523	643	584
524	644	582
525	644	581
526	645	579
527	646	578
528	647	576
529	648	575
530	649	573
531	650	571
532	650	570
533	651	568
534	652	567
535	653	565
536	654	564
537	655	562
538	655	561
539	656	559
540	657	557
541	658	556
542	659	554
543	660	553
544	660	551
545	661	550
546	662	548
547	663	547
548	664	545
549	665	544
550	665	542
551	666	541
552	667	539
553	668	538
554	669	536
555	669	535
556	670	533
557	671	531
558	672	530
559	673	529
560	674	527
561	675	526
562	675	524
563	676	523
564	677	521
565	678	520
566	679	518
567	679	517
568	680	515
569	681	514
570	682	513
571	683	511
572	684	510
573	685	508
574	686	507
575	686	505
576	687	504
577	688	502
578	689	501
579	690	499
580	690	498
581	691	496
582	692	495
583	693	494
584	694	492
585	695	491
586	695	489
587	696	488
588	697	486
589	698	485
590	699	483
591	700	482
592	701	481
593	701	479
594	702	478
595	703	476
596	704	475
597	705	474
598	706	472
599	706	471
600	707	469
601	708	468
602	709	467
603	710	465
604	711	464
605	712	462
606	712	461
607	713	460
608	714	458
609	715	457
610	716	455
611	716	454
612	717	453
613	718	451
614	719	450
615	720	449
616	721	447
617	721	446
618	722	444
619	723	443
620	724	442
621	725	440
622	726	439
623	726	437
624	727	436
625	728	435
626	729	433
627	730	432
628	730	431
629	731	429
630	732	428
631	733	426
632	734	425
633	734	424
634	735	422
635	736	421
636	737	420
637	738	418
638	739	417
639	739	416
640	740	414
641	741	413
642	742	412
643	743	410
644	744	409
645	744	408
646	745	406
647	746	405
648	747	404
649	748	402
650	748	401
651	749	400
652	750	398
653	751	397
654	752	396
655	752	394
656	753	393
657	754	392
658	755	390
659	756	389
660	757	388
661	758	387
662	759	385
663	760	384
664	760	383
665	761	382
666	762	380
667	763	379
668	764	378
669	765	376
670	765	375
671	766	374
672	767	372
673	768	371
674	769	370
675	770	369
676	770	367
677	771	366
678	772	365
679	773	364
680	774	362
681	775	361
682	776	360
683	776	358
684	777	357
685	778	356
686	779	355
687	780	353
688	781	352
689	782	351
690	782	350
691	783	348
692	784	347
693	785	346
694	786	344
695	786	343
696	787	342
697	788	341
698	789	339
699	790	338
700	791	337
701	792	336
702	792	334
703	793	333
704	794	332
705	795	331
706	796	330
707	797	328
708	798	327
709	799	326
710	800	325
711	800	323
712	801	322
713	802	321
714	803	320
715	804	318
716	805	317
717	806	316
718	806	315
719	807	314
720	808	312
721	809	311
722	810	310
723	811	309
724	812	308
725	813	306
726	813	305
727	814	304
728	815	303
729	816	302
730	817	300
731	818	299
732	819	298
733	819	297
734	820	295
735	821	294
736	822	293
737	823	292
738	824	291
739	824	289
740	825	288
741	826	287
742	827	286
743	828	285
744	829	283
745	830	282
746	831	281
747	831	280
748	832	279
749	833	277
750	834	276
751	835	275
752	836	274
753	837	273
754	837	271
755	838	270
756	839	269
757	840	268
758	841	267
759	842	265
760	843	264
761	844	263
762	844	262
763	845	261
764	846	260
765	847	258
766	848	257
767	848	256
768	849	255
769	850	254
770	851	252
771	852	251
772	853	250
773	854	249
774	854	248
775	855	247
776	856	245
777	857	244
778	858	243
779	858	242
780	859	241
781	860	239
782	861	238
783	862	237
784	863	236
785	863	235
786	864	234
787	865	232
788	866	231
789	867	230
790	868	229
791	868	228
792	869	227
793	870	225
794	871	224
795	872	223
796	873	222
797	874	221
798	874	220
799	875	218
800	876	217
801	877	216
802	878	215
803	879	214
804	879	213
805	880	211
806	881	210
807	882	209
808	883	208
809	884	207
810	884	206
811	885	205
812	886	203
813	887	202
814	888	201
815	889	200
816	889	199
817	890	198
818	891	197
819	892	195
820	893	194
821	893	193
822	894	192
823	895	191
824	896	190
825	897	189
826	898	187
827	899	186
828	899	185
829	900	184
830	901	183
831	902	182
832	903	181
833	904	179
834	905	178
835	906	177
836	906	176
837	907	175
838	908	174
839	909	173
840	910	172
841	911	171
842	912	169
843	913	168
844	913	167
845	914	166
846	915	165
847	916	164
848	917	163
849	918	162
850	919	160
851	919	159
852	920	158
853	921	157
854	922	156
855	923	155
856	924	154
857	924	153
858	925	151
859	926	150
860	927	149
861	928	148
862	929	147
863	930	146
864	930	145
865	931	144
866	932	143
867	933	141
868	934	140
869	935	139
870	936	138
871	936	137
872	937	136
873	938	135
874	939	134
875	940	133
876	941	132
877	942	130
878	943	129
879	944	128
880	945	127
881	945	126
882	946	125
883	947	124
884	948	123
885	949	122
886	949	121
887	950	119
888	951	118
889	952	117
890	953	116
891	954	115
892	955	114
893	956	113
894	956	112
895	957	111
896	958	110
897	959	108
898	960	107
899	961	106
900	962	105
901	963	104
902	963	103
903	964	102
904	965	101
905	966	100
906	967	99
907	968	98
908	969	97
909	970	95
910	971	94
911	971	93
912	972	92
913	973	91
914	974	90
915	975	89
916	976	88
917	977	87
918	977	86
919	978	85
920	979	84
921	980	82
922	981	81
923	982	80
924	982	79
925	983	78
926	984	77
927	985	76
928	986	75
929	987	74
930	988	73
931	988	72
932	989	71
933	990	70
934	991	68
935	992	67
936	993	66
937	994	65
938	995	64
939	996	63
940	996	62
941	997	61
942	998	60
943	999	59
944	999	58
945	1000	57
946	1001	56
947	1002	54
948	1003	53
949	1004	52
950	1005	51
951	1006	50
952	1007	49
953	1007	48
954	1008	47
955	1009	46
956	1010	45
957	1011	44
958	1012	43
959	1013	42
960	1014	41
961	1014	40
962	1015	39
963	1016	37
964	1017	36
965	1018	35
966	1019	34
967	1019	33
968	1021	32
969	1022	31
970	1023	30
971	1024	29
972	1025	28
973	1026	27
974	1027	26
975	1028	25
976	1028	24
977	1029	23
978	1030	22
979	1031	21
980	1032	19
981	1033	18
982	1033	17
983	1034	16
984	1035	15
985	1036	14
986	1037	13
987	1038	12
988	1039	11
989	1040	10
990	1040	9
991	1041	8
992	1042	7
993	1043	6
994	1044	5
995	1045	4
996	1045	3
997	1046	2
998	1047	1
999	1048	0
